Datum export;20230126 08:55;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20220801 00:00 - 20220901 00:00;;;StationsNaam;Hoogvliet-Leemkuil;Rotterdam Zuid-Pleinweg;Rotterdam Zuid-Zwartewaalstraat;Ridderkerk-Hogeweg;Rotterdam-Oost Sidelinge A13;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Ridderkerk-Voorweg;Sluiskil-Stroodorpestraat;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Veldhoven-Europalaan;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Rotterdam-Bentinckplein;Vlaardingen-Riouwlaan;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Bron;https://data.rivm.nl/data/luchtmeetnet;;;Latitude,Longitude;(51.867411,4.355242);(51.891147,4.48069);(51.893617,4.487528);(51.869431,4.580058);(51.938472,4.430692);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.861722,4.563806);(51.27938,3.83859);(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.407365,5.393328);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.92711,4.46134);(51.914883,4.32943);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;StationsGebied;stad;stad;stad;stad;stad;stad;stad;stad;voorstad;stad;regionaal;regionaal;stad;stad;regionaal;stad;stad;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;industrie;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220801 00:00;20220801 01:00;1.7;3.3;3.4;3.7;3.2;3;2.2;3.1;2.6;3.4;8.6;5.246;3.075;-0.243;6.209;2.468;-1.562;0.376;3.653;9.523;1.571;6.326;-1.475;1.259;3.077;4.363;-4.855;5.014;3.484;10.964;1.149;1.759;0.531;4.529
PM2.5;uur;µg/m³;20220801 01:00;20220801 02:00;2.5;2.5;2.8;3.1;3.9;3.2;2.8;3.1;2.4;2.3;6.9;10.827;1.388;7.72;3.476;4.624;-2.854;0.171;5.866;3.212;0.914;4.746;-0.53;-1.039;2.414;7.166;1.463;11.17;2.023;7.059;0.13;0.741;-0.62;3.566
PM2.5;uur;µg/m³;20220801 02:00;20220801 03:00;2;2.2;2.7;2.5;2.5;2.3;1.8;2.2;1.6;2.5;2.1;6.638;0.073;4.905;15.374;6.191;-1.199;-0.072;2.696;3.736;-1.093;5.53;-2.86;3.387;1.129;6.65;3.845;6.053;3.136;6.155;-2.058;-1.298;-1.906;3.394
PM2.5;uur;µg/m³;20220801 03:00;20220801 04:00;1.6;1.2;1.4;1.3;1.7;1.3;1.6;1.3;1.1;1.4;1.9;5.893;-0.328;2.289;9.866;7.054;2.369;-1.169;-0.46;3.682;-0.069;4.848;-3.943;3.925;-0.56;3.29;4.663;1.688;2.612;6.525;-1.955;-1.297;0.08;12.336
PM2.5;uur;µg/m³;20220801 04:00;20220801 05:00;0.6;1.7;1.6;1.8;1.4;1.3;1.2;1;0.8;1.5;3.1;7.991;0.767;1.032;11.356;7.117;6.495;-3.686;-0.567;0.643;0.756;3.678;2.002;5.34;1.576;2.575;-0.523;1.897;1.4;9.954;-2.057;0.001;1.011;6.344
PM2.5;uur;µg/m³;20220801 05:00;20220801 06:00;0.7;1.2;1.5;1.2;1.3;1.3;0.9;1;1.2;0.9;1.5;6.919;-1.271;0.009;10.836;3.252;1.004;-3.002;0.222;3.142;1.56;3.401;4.733;5.253;3.294;3.159;1.979;0.776;6.645;10.19;-2.894;1.431;8.137;9.425
PM2.5;uur;µg/m³;20220801 06:00;20220801 07:00;1.1;1.6;1.1;1.2;1.2;1.2;0.9;0.9;2.3;1.1;1.7;7.457;-2.251;1.142;4.114;1.293;-1.139;-1.628;1.595;4.63;1.51;7.538;4.763;6.962;4.089;1.306;3.844;0.707;4.235;8.027;0.453;2.927;8.906;8.477
PM2.5;uur;µg/m³;20220801 07:00;20220801 08:00;2.1;1.2;1.3;1;1.4;1.3;1.5;4.2;4.1;0.9;0.6;5.649;-0.495;3.193;9.749;7.154;9.102;-2.525;1.451;-0.416;2.055;7.098;4.939;3.585;1.184;-0.225;0.603;1.235;1.101;4.553;0.272;1.898;6.747;5.442
PM2.5;uur;µg/m³;20220801 08:00;20220801 09:00;2.4;2.3;2.6;2.4;3;3.3;3.4;4.3;4.2;2.5;1.4;4.116;3.824;4.59;5.101;3.647;-4.729;1.184;2.806;-0.732;3.707;8.935;13.002;2.845;0.591;1.545;-2.572;1.654;0.688;5.43;-2.076;2.51;4.144;4.448
PM2.5;uur;µg/m³;20220801 09:00;20220801 10:00;5.9;6.4;7.4;6.3;6.2;6.9;6.1;4.4;4.9;6.7;1.8;2.966;4.217;5.572;0.121;-0.48;-6.506;2.133;7.757;7.895;7.49;8.114;6.358;8.847;7.898;3.653;0.969;7.052;2.775;3.02;0.117;0.911;1.32;5.544
PM2.5;uur;µg/m³;20220801 10:00;20220801 11:00;5.9;5.9;6.9;4.3;5;5.6;4.4;3.5;4.8;4.6;3.5;4.379;1.969;3.508;1.378;3.627;1.113;3.658;6.079;8.24;5.219;5.99;8.547;5.044;4.512;4.105;2.107;4.453;2.631;7.183;2.57;0.477;4.238;5.189
PM2.5;uur;µg/m³;20220801 11:00;20220801 12:00;3.5;4.4;4.7;3.6;4.2;5.2;4.2;3.8;4.7;3.5;2.5;1.752;3.096;8.286;0.95;3.428;4.378;7.179;4.502;7.023;6.616;9.092;3.95;5.206;3.2;7.816;8.518;5.486;8.029;4.921;5.128;1.182;6.913;3.271
