Datum export;20230126 06:43;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20220701 00:00 - 20220801 00:00;;;StationsNaam;Hoogvliet-Leemkuil;Rotterdam Zuid-Pleinweg;Rotterdam Zuid-Zwartewaalstraat;Ridderkerk-Hogeweg;Rotterdam-Oost Sidelinge A13;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Ridderkerk-Voorweg;Sluiskil-Stroodorpestraat;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Veldhoven-Europalaan;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Rotterdam-Bentinckplein;Vlaardingen-Riouwlaan;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Bron;https://data.rivm.nl/data/luchtmeetnet;;;Latitude,Longitude;(51.867411,4.355242);(51.891147,4.48069);(51.893617,4.487528);(51.869431,4.580058);(51.938472,4.430692);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.861722,4.563806);(51.27938,3.83859);(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.407365,5.393328);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.92711,4.46134);(51.914883,4.32943);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;StationsGebied;stad;stad;stad;stad;stad;stad;stad;stad;voorstad;stad;regionaal;regionaal;stad;stad;regionaal;stad;stad;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;industrie;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220701 00:00;20220701 01:00;10.8;9.9;10.5;10.2;11;9.9;4.7;9.5;8.3;10.7;7;22.273;11.522;6.9;15.207;6.716;1.819;5.687;10.983;5.634;7.363;8.916;2.023;11.611;7.334;7.01;7.003;;1.73;6.599;2.108;1.82;-0.464;2.597
PM2.5;uur;µg/m³;20220701 01:00;20220701 02:00;8.8;10.3;11.1;11.7;10.6;9.9;11.2;9.8;8.6;11.6;7;10.15;;4.801;10.268;9.219;7.622;9.719;9.896;5.983;11.64;8.935;1.091;8.818;3.808;11.111;10.19;;10.405;9.543;2.438;-1.484;-0.881;2.446
PM2.5;uur;µg/m³;20220701 02:00;20220701 03:00;6.3;9.1;11.9;11;7.7;7.9;8.8;6.9;7.2;10.8;6.9;10.552;;3.546;9.376;9.366;4.427;7.862;5.904;6.522;8.974;6.488;1.601;14.972;7.499;12.267;7.896;;19.421;21.724;6.831;-0.154;-1.223;2.586
PM2.5;uur;µg/m³;20220701 03:00;20220701 04:00;5.1;7.5;8.5;10.7;5.6;6.5;6.3;6.2;5.9;10.2;6.4;11.787;;1.715;16.638;8.171;2.634;4.969;3.499;9.964;9.954;6.188;4.988;10.954;7.392;10.16;6.07;;14.404;18.382;5.189;0.899;0.935;0.665
PM2.5;uur;µg/m³;20220701 04:00;20220701 05:00;6;7.3;7.7;9.2;6.4;7;5;7.1;4.5;8.4;6.6;11.787;;2.021;23.508;8.418;3.192;5.052;3.585;7.372;7.232;6.894;10.954;12.238;9.112;9.749;6.097;;18.206;16.677;14.943;1.012;2.777;-0.105
PM2.5;uur;µg/m³;20220701 05:00;20220701 06:00;5.3;6.5;6.3;7.1;6.5;6.1;6.4;6.7;3.2;7;6.1;10.484;;1.433;14.619;11.003;4.388;3.284;4.916;9.425;7.138;6.367;9.827;9.788;7.173;13.855;7.069;;11.395;14.139;17.402;1.896;1.894;1.352
PM2.5;uur;µg/m³;20220701 06:00;20220701 07:00;6;5.7;5.8;6;6.6;6.1;6;5.9;5.2;6;6;14.051;;0.773;8.54;7.889;3.692;0.406;6.764;14.237;6.956;5.477;9.621;17.187;9.072;9.504;4.127;;14.374;8.028;16.707;0.787;3.096;5.72
PM2.5;uur;µg/m³;20220701 07:00;20220701 08:00;5.9;6.1;5.9;5.7;6.5;6.8;5.9;6;5.7;6;5.8;7.069;;2.679;21.215;8.935;9.19;5.237;5.908;15.521;7.359;8.47;7.743;9.641;7.892;8.151;8.925;;8.639;12.855;14.325;2.14;11.297;5.659
PM2.5;uur;µg/m³;20220701 08:00;20220701 09:00;5.6;5.1;5.2;4.7;4.9;4.6;6.4;4.4;4.3;4.8;4.6;6.408;;4.13;7.745;7.819;4.231;5.137;5.637;7.563;4.942;4.82;6.045;13.13;6.312;9.082;11.326;;10.219;15.246;6.543;4.654;11.444;6.953
PM2.5;uur;µg/m³;20220701 09:00;20220701 10:00;4.7;4.4;4.2;3.7;4.7;4.3;;3.8;3;3.8;3.5;6.2;4.169;5.015;7.477;9.043;0.995;2.956;6.716;4.661;8.078;7.495;2.749;8.17;7.57;10.346;7.742;;11.591;13.561;5.774;3.462;12.894;7.975
PM2.5;uur;µg/m³;20220701 10:00;20220701 11:00;4.5;4.2;3.9;3.2;4.3;4.2;4.6;3;4.8;3.5;2.7;4.083;0.512;5.068;4.246;5.501;7.044;0.098;4.061;1.761;8.984;6.03;-0.668;10.464;4.623;6.087;6.173;;6.016;8.071;3.288;2.101;13.394;7.022
PM2.5;uur;µg/m³;20220701 11:00;20220701 12:00;3.6;3.5;3.1;3;3.7;3.4;3.8;3.5;3.7;3.3;2.8;5.78;4.823;5.655;0.693;7.969;8.631;0.595;7.81;6.465;10.631;7.665;2.024;10.484;5.907;3.877;5.933;;5.429;4.72;2.963;1.807;17.295;6.925
PM2.5;uur;µg/m³;20220701 12:00;20220701 13:00;3.4;3.3;3;3.1;3.4;3.3;3.4;2.3;3.2;3.2;2.7;3.909;4.236;4.205;2.154;6.148;0.814;2.6;7.743;4.701;6.519;4.655;2.259;17.02;5.546;5.475;12.885;;4.985;4.685;1.823;1.573;6.222;7.277
PM2.5;uur;µg/m³;20220701 13:00;20220701 14:00;3;3.9;3;2.9;3.3;2.8;3.5;3.1;3.5;2.8;2.6;3.304;3.482;0.885;1.799;6.782;5.466;4.836;6.329;4.069;7.276;1.612;3.665;3.862;4.755;7.844;6.211;;12.032;7.533;4.307;5.095;7.998;5.08
PM2.5;uur;µg/m³;20220701 14:00;20220701 15:00;3.4;3.9;3.3;2.7;3.5;3.5;3.4;2.7;2.8;2.8;2.7;4.017;2.156;-0.489;4.168;7.299;2.291;6.276;4.758;5.65;4.476;3.802;7.838;7.361;2.538;6.606;3.639;;11.846;7.409;4.297;6.48;9.837;4.816
PM2.5;uur;µg/m³;20220701 15:00;20220701 16:00;2.5;3.2;2.8;2.5;2.5;3;2.4;2.4;3;2.5;2.9;3.549;-1.002;-1.455;8.558;4.735;2.477;7.344;2.108;4.522;6.527;2.294;4.515;8.4;3.942;3.017;2.698;;8.369;5.577;4.598;6.581;5.191;4.052
PM2.5;uur;µg/m³;20220701 16:00;20220701 17:00;3.3;3.7;2.9;2.9;3;3.4;3.2;2;3.2;3;2.7;3.758;-1.489;-3.419;7.624;4.883;3.457;4.128;3.641;4.636;6.923;4.711;1.954;6.075;5.357;4.975;2.721;1.805;5.445;11.444;5.007;3.405;0.963;6.426
