Datum export;20230125 17:07;;;StationsCode;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
Periode;20220201 00:00 - 20220301 00:00;;;StationsNaam;Hoogvliet-Leemkuil;Rotterdam Zuid-Pleinweg;Rotterdam Zuid-Zwartewaalstraat;Ridderkerk-Hogeweg;Rotterdam-Oost Sidelinge A13;Rotterdam Noord -Statenweg;Schiedam-Alphons Arienstraat;Maassluis-Kwartellaan;Hoek v. Holland-Berghaven;Ridderkerk-Voorweg;Sluiskil-Stroodorpestraat;Vredepeel-Vredeweg;Heerlen-Looierstraat;Heerlen-Jamboreepad;Biest Houtakker-Biestsestraat;Breda-Tilburgseweg;Breda-Bastenakenstraat;Veldhoven-Europalaan;Den Haag-Rebecquestraat;Rotterdam-Schiedamsevest;De Zilk-Vogelaarsdreef;Rotterdam-Bentinckplein;Vlaardingen-Riouwlaan;Wieringerwerf-Medemblikkerweg;Utrecht-Kardinaal de Jongweg;Breukelen-Snelweg;Utrecht-Griftpark;Cabauw-Wielsekade;Wekerom-Riemterdijk;Nijmegen-Graafseweg;Nijmegen-Ruyterstraat;Enschede-Winkelhorst.;Kollumerwaard-Hooge Zuidwal;Groningen-Europaweg;Groningen-Nijensteinheerd
Bron;https://data.rivm.nl/data/luchtmeetnet;;;Latitude,Longitude;(51.867411,4.355242);(51.891147,4.48069);(51.893617,4.487528);(51.869431,4.580058);(51.938472,4.430692);(51.927111,4.461344);(51.921389,4.401389);(51.932039,4.228025);(51.977803,4.121944);(51.861722,4.563806);(51.27938,3.83859);(51.54052,5.85307);(50.887959,5.970496);(50.900317,5.986853);(51.51844,5.14845);(51.593533,4.824944);(51.60308,4.781016);(51.407365,5.393328);(52.077148,4.289185);(51.914233,4.479923);(52.296556,4.510817);(51.92711,4.46134);(51.914883,4.32943);(52.803657,5.050509);(52.105031,5.124464);(52.20153,4.987444);(52.101308,5.128183);(51.974489,4.923301);(52.111621,5.708419);(51.841372,5.857777);(51.838221,5.856938);(52.234504,6.919494);(53.330425,6.276815);(53.217796,6.578901);(53.246535,6.608937)
Beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf;;;StationsGebied;stad;stad;stad;stad;stad;stad;stad;stad;voorstad;stad;regionaal;regionaal;stad;stad;regionaal;stad;stad;stad;stad;stad;regionaal;stad;stad;regionaal;stad;regionaal;stad;regionaal;regionaal;stad;stad;stad;regionaal;stad;stad
;;;;StationsType;achtergrond;verkeer;achtergrond;verkeer;verkeer;verkeer;achtergrond;achtergrond;industrie;achtergrond;industrie;achtergrond;verkeer;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;achtergrond;achtergrond;verkeer;verkeer;achtergrond;verkeer;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond;achtergrond;achtergrond;verkeer;achtergrond
;;;;Meetprincipe;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);Fotospectrometrie;Fotospectrometrie;B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA);B-straling verzwakking (BETA)
;;;;Meetopstelling;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;Palas model Fidas 200;Palas model Fidas 200;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020;MetOne BAM-1020
Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL01485;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01912;NL01913;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10404;NL10418;NL10444;NL10448;NL10449;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;µg/m³;20220201 00:00;20220201 01:00;4.4;4.9;5;5.3;4.7;4.7;4.4;4.5;7.4;5.6;5.5;9.141;9.876;-1.675;0.557;7.198;4.427;4.459;0.081;1.101;9.709;5.305;5.657;2.729;7.798;7.787;8.108;-0.818;5.107;6.628;12.953;3.254;6.641;5.749;5.097
PM2.5;uur;µg/m³;20220201 01:00;20220201 02:00;4.4;3.4;3.3;3.4;3.9;4.1;3.7;5.8;8.9;3.4;6.5;7.119;8.521;3.062;0.059;9.082;4.464;3.362;4.463;1.786;7.004;5.224;4.368;9.425;5.065;7.921;6.244;5.55;5.747;16.177;7.24;1.689;10.366;3.408;4.017
PM2.5;uur;µg/m³;20220201 02:00;20220201 03:00;5.9;6;4.4;4.3;4.3;4.3;4.3;5.7;6.7;4.5;4.8;4.931;7.867;4.172;5.434;5.822;4.673;5.821;1.432;2.431;8.406;3.65;4.833;6.107;6.717;3.816;6.192;4.839;5.404;18.716;7.735;-2.307;6.722;5.733;3.966
PM2.5;uur;µg/m³;20220201 03:00;20220201 04:00;5.8;7.6;7.9;4.8;5.5;5.5;5.9;6.4;6.7;5;5.4;4.73;7.478;-1.966;3.174;4.765;2.949;6.802;1.076;5.244;8.201;9.445;5.321;7.159;10.552;3.52;7.907;2.167;5.356;1.166;5.802;-0.33;2.92;6.079;9.504
PM2.5;uur;µg/m³;20220201 04:00;20220201 05:00;6.1;6.6;6.6;5.7;6.1;6.1;6.2;7;8.3;6.1;7;3.894;5.989;-1.691;14.129;2.538;5.761;4.937;7.787;6.31;12.365;8.546;10.885;7.042;10.258;6.024;8.696;2.796;7.385;3.372;-1.072;3.467;1.326;2.546;5.166
PM2.5;uur;µg/m³;20220201 05:00;20220201 06:00;8.4;8.6;8.3;7.1;8.1;8.6;9.1;8.4;9;7.2;8.9;4.366;5.678;-0.099;7.548;3.186;10.866;8.492;10.552;8.514;16.697;14.325;14.345;8.769;11.914;9.033;10.366;6.241;5.112;6.456;8.567;3.098;1.281;0.804;3.179
PM2.5;uur;µg/m³;20220201 06:00;20220201 07:00;7.9;9;8.9;8;9.2;9.3;10.3;7.4;7.8;8.2;9;7.63;8.592;0.846;12.395;7.443;9.317;9.651;5.509;8.788;11.111;11.865;5.833;7.771;9.641;18.186;10.307;6.201;7.905;6.405;9.014;1.548;3.232;3.237;3.63
PM2.5;uur;µg/m³;20220201 07:00;20220201 08:00;6;7.5;7.4;7.8;7.5;8.4;9.1;6.1;5.8;8;8.7;10.523;10.954;6.451;12.071;11.14;14.482;10.67;4.326;9.876;12.355;9.984;8.808;7.74;11.444;9.768;11.601;4.122;8.749;8.876;10.337;4.809;4.558;3.173;5.566
PM2.5;uur;µg/m³;20220201 08:00;20220201 09:00;2.3;3;2.6;4.2;3.1;4.1;4.7;3.2;4.6;3.8;11.8;9.866;17.255;10.268;7.835;11.944;11.473;16.824;4.298;8.085;7.878;8.994;4.604;6.102;11.121;6.417;12.15;3.981;4.282;11.934;11.111;5.434;3.988;5.393;4.799
PM2.5;uur;µg/m³;20220201 09:00;20220201 10:00;2.6;2.4;2;2.8;3.1;4.2;3.9;4.6;6.9;2;10.1;10.738;14.345;5.635;14.002;9.219;8.474;10.18;1.356;6.775;8.327;4.962;7.315;1.454;6.958;3.922;14.276;3.949;1.977;10.121;12.336;7.303;3.378;3.031;8.083
PM2.5;uur;µg/m³;20220201 10:00;20220201 11:00;4.5;3.6;3.3;3.9;3.7;4.6;4.8;5.8;7.7;3;10.7;8.193;6.137;14.658;12.287;8.593;9.641;10.709;0.159;7.433;10.425;6.466;8.32;2.52;6.965;2.011;5.816;5.159;2.077;8.53;11.503;5.149;4.052;2.551;5.839
PM2.5;uur;µg/m³;20220201 11:00;20220201 12:00;5.8;6.6;6.3;5.6;6.2;6.4;7.1;7.2;8.2;4.9;7.7;8.857;11.032;0.755;10.229;10.836;6.095;8.39;2.794;7.675;5.892;8.425;7.282;6.677;7.823;3.918;6.584;6.473;1.366;7.351;10.278;2.336;2.894;2.877;4.663
PM2.5;uur;µg/m³;20220201 12:00;20220201 13:00;6.7;9;8.6;7.5;7.1;7.5;7.8;7.6;7.3;7;6;6.809;5.948;3.037;5.196;7.781;2.796;13.149;3.14;8.012;7.345;7.283;5.388;8.317;7.303;6.645;8.287;6.425;4.164;5.283;4.643;2.648;5.387;1.235;5.484
PM2.5;uur;µg/m³;20220201 13:00;20220201 14:00;5.2;7;6.4;6.2;5.5;6.2;6.9;6.5;6.6;5.5;5.6;-0.346;2.251;4.735;5.343;12.404;6.205;8.337;0.684;6.525;13.326;10.552;7.057;8.562;3.445;5.605;10.974;5.355;4.224;5.029;1.857;1.417;4.209;0.138;4.863
PM2.5;uur;µg/m³;20220201 14:00;20220201 15:00;4.2;6.9;6.7;4.9;5.2;5.3;5.3;5.4;6.2;4.5;5.2;4.684;2.897;7.702;7.286;8.616;6.351;6.67;-0.239;5.472;9.151;8.104;4.423;7.379;7.451;4.095;10.709;7.815;3.441;4.728;9.347;0.894;4.416;4.058;6.106
PM2.5;uur;µg/m³;20220201 15:00;20220201 16:00;4.4;6.6;5.7;4.9;4.7;7.5;5;5.5;5.8;4.3;4.7;8.818;6.244;7.562;3.928;12.15;5.214;6.851;4.108;4.025;9.298;8.489;6.666;9.19;7.15;3.319;6.499;4.376;3.223;4.981;5.521;2.79;10.836;3.866;8.137
